Station,Date and Time,Air Temp,RH,Dewpoint,Solar Rad,Precip,Wind,Wind Dir,Gust Speed
fcl01,2022-12-01 00:00:00,15.19,0.874,12.12,0.0,0.0,1.22,287.5,3.11
fcl01,2022-12-01 00:05:00,15.13,0.871,11.99,0.0,0.0,0.15,302.6,0.96
fcl01,2022-12-01 00:10:00,15.01,0.87,11.84,0.0,0.0,1.47,160.8,3.33
fcl01,2022-12-01 00:15:00,15.33,0.873,12.24,0.0,0.0,4.82,95.8,6.4
fcl01,2022-12-01 00:20:00,16.02,0.867,12.75,0.0,0.0,2.42,33.8,5.83
fcl01,2022-12-01 00:25:00,15.94,0.858,12.45,0.0,0.0,2.3,64.3,5.13
fcl01,2022-12-01 00:30:00,15.69,0.856,12.15,0.0,0.0,1.64,49.5,3.68
fcl01,2022-12-01 00:35:00,15.12,0.856,11.58,0.0,0.0,2.41,21.9,3.86
fcl01,2022-12-01 00:40:00,14.5,0.856,10.98,0.0,0.0,1.78,346.2,3.95
fcl01,2022-12-01 00:45:00,13.95,0.857,10.45,0.0,0.0,2.48,333.0,3.81
fcl01,2022-12-01 00:50:00,13.75,0.861,10.36,0.0,0.0,2.44,226.1,5.26
fcl01,2022-12-01 00:55:00,13.66,0.866,10.41,0.0,0.0,1.63,179.0,3.2
fcl01,2022-12-01 01:00:00,14.09,0.869,10.91,0.0,0.0,1.91,0.1,3.55
fcl01,2022-12-01 01:05:00,14.31,0.867,11.07,0.0,0.0,0.82,322.7,2.1
fcl01,2022-12-01 01:10:00,14.07,0.864,10.76,0.0,0.0,0.66,226.5,2.59
fcl01,2022-12-01 01:15:00,13.24,0.861,9.87,0.0,0.0,3.31,231.8,4.95
fcl01,2022-12-01 01:20:00,13.14,0.867,9.92,0.0,0.0,1.47,233.6,2.81
fcl01,2022-12-01 01:25:00,13.75,0.874,10.7,0.0,0.0,1.14,311.6,2.1
fcl01,2022-12-01 01:30:00,13.93,0.874,10.88,0.0,0.0,0.76,284.1,1.93
fcl01,2022-12-01 01:35:00,13.86,0.873,10.78,0.0,0.0,0.66,9.8,2.37
fcl01,2022-12-01 01:40:00,13.73,0.872,10.63,0.0,0.0,0.72,238.2,2.15
fcl01,2022-12-01 01:45:00,13.41,0.872,10.31,0.0,0.0,0.38,304.8,1.75
fcl01,2022-12-01 01:50:00,13.42,0.876,10.43,0.0,0.0,0.35,174.3,1.58
fcl01,2022-12-01 01:55:00,12.96,0.874,9.92,0.0,0.0,2.5,213.2,5.74
fcl01,2022-12-01 02:00:00,12.51,0.878,9.58,0.0,0.0,0.57,280.6,2.5
fcl01,2022-12-01 02:05:00,13.28,0.886,10.55,0.0,0.0,2.6,247.7,4.47
fcl01,2022-12-01 02:10:00,13.42,0.883,10.61,0.0,0.0,0.31,236.6,1.89
