Station,Date,Avg Temp,Max Temp,Max Temp Time,Min Temp,Min Temp Time,RH Max,RH Max Time,RH Min,RH Min Time,Precip,Solar Rad
fcl01,1996-10-01,62.64,83.13,2023-02-19 16:10:00,43.69,2023-02-19 06:10:00,0.857,2023-02-19 02:20:00,0.12,2023-02-19 15:40:00,,
fcl01,1996-10-02,49.55,57.77,2023-02-19 15:20:00,44.45,2023-02-19 05:20:00,0.789,2023-02-19 05:30:00,0.532,2023-02-19 17:10:00,,
fcl01,1996-10-03,53.74,68.5,2023-02-19 14:50:00,43.84,2023-02-19 03:10:00,0.961,2023-02-19 23:40:00,0.39,2023-02-19 14:50:00,,
fcl01,1996-10-04,59.22,75.92,2023-02-19 15:40:00,44.26,2023-02-19 06:00:00,1.017,2023-02-19 06:20:00,0.308,2023-02-19 15:10:00,,
fcl01,1996-10-05,60.36,77.86,2023-02-19 14:20:00,43.08,2023-02-19 06:00:00,0.984,2023-02-19 06:20:00,0.221,2023-02-19 13:20:00,,
fcl01,1996-10-06,58.47,69.83,2023-02-19 15:00:00,46.92,2023-02-19 06:30:00,0.886,2023-02-19 23:40:00,0.357,2023-02-19 15:10:00,,
fcl01,1996-10-07,54.45,70.07,2023-02-19 15:20:00,44.1,2023-02-19 05:10:00,0.964,2023-02-19 05:20:00,0.366,2023-02-19 15:20:00,,
fcl01,1996-10-08,57.55,76.65,2023-02-19 12:20:00,39.53,2023-02-19 05:30:00,0.969,2023-02-19 03:50:00,0.134,2023-02-19 12:10:00,,
fcl01,1996-10-09,55.17,70.92,2023-02-19 15:00:00,39.5,2023-02-19 06:20:00,0.872,2023-02-19 06:20:00,0.247,2023-02-19 15:50:00,,
fcl01,1996-10-10,55.1,74.28,2023-02-19 15:30:00,39.17,2023-02-19 05:40:00,0.906,2023-02-19 23:40:00,0.306,2023-02-19 14:30:00,,
fcl01,1996-10-11,64.05,84.59,2023-02-19 15:00:00,43.52,2023-02-19 06:30:00,0.872,2023-02-19 00:00:00,0.107,2023-02-19 16:10:00,0.0,
fcl01,1996-10-12,61.92,81.85,2023-02-19 14:20:00,42.91,2023-02-19 06:30:00,0.81,2023-02-19 06:30:00,0.132,2023-02-19 15:20:00,,
fcl01,1996-10-13,61.13,80.67,2023-02-19 14:30:00,43.88,2023-02-19 04:00:00,0.835,2023-02-19 04:00:00,0.127,2023-02-19 14:30:00,,
fcl01,1996-10-14,59.74,75.18,2023-02-19 14:30:00,44.92,2023-02-19 04:10:00,0.661,2023-02-19 01:20:00,0.145,2023-02-19 15:20:00,,
fcl01,1996-10-15,54.25,71.66,2023-02-19 16:00:00,41.75,2023-02-19 05:20:00,0.691,2023-02-19 21:10:00,0.185,2023-02-19 16:00:00,,
fcl01,1996-10-16,46.81,60.92,2023-02-19 11:10:00,38.71,2023-02-19 23:50:00,0.885,2023-02-19 15:30:00,0.255,2023-02-19 09:40:00,,
fcl01,1996-10-17,40.01,48.76,2023-02-19 14:30:00,30.44,2023-02-19 23:55:00,0.732,2023-02-19 23:55:00,0.148,2023-02-19 15:00:00,,
fcl01,1996-10-18,43.63,65.85,2023-02-19 16:00:00,24.74,2023-02-19 06:00:00,0.818,2023-02-19 00:50:00,0.225,2023-02-19 12:00:00,,
fcl01,1996-10-19,54.41,72.41,2023-02-19 12:20:00,40.28,2023-02-19 01:00:00,0.636,2023-02-19 01:00:00,0.176,2023-02-19 13:50:00,,
fcl01,1996-10-20,39.6,47.74,2023-02-19 11:10:00,32.77,2023-02-19 23:55:00,0.955,2023-02-19 01:20:00,0.164,2023-02-19 15:30:00,,
fcl01,1996-10-21,35.04,45.47,2023-02-19 14:50:00,24.42,2023-02-19 04:10:00,0.699,2023-02-19 04:10:00,0.178,2023-02-19 15:10:00,,
fcl01,1996-10-22,42.76,63.8,2023-02-19 13:50:00,23.8,2023-02-19 03:00:00,0.63,2023-02-19 03:00:00,0.178,2023-02-19 14:20:00,,
fcl01,1996-10-23,44.82,54.72,2023-02-19 15:20:00,36.59,2023-02-19 05:40:00,0.648,2023-02-19 06:50:00,0.233,2023-02-19 16:10:00,,
fcl01,1996-10-24,43.42,53.84,2023-02-19 15:00:00,27.86,2023-02-19 06:20:00,0.812,2023-02-19 06:20:00,0.35,2023-02-19 13:40:00,,
fcl01,1996-10-25,45.66,56.84,2023-02-19 14:30:00,34.11,2023-02-19 06:10:00,0.791,2023-02-19 06:10:00,0.329,2023-02-19 15:30:00,,
fcl01,1996-10-26,39.33,47.07,2023-02-19 11:00:00,32.81,2023-02-19 23:55:00,0.946,2023-02-19 05:10:00,0.352,2023-02-19 11:00:00,,
fcl01,1996-10-27,36.56,47.54,2023-02-19 15:50:00,29.79,2023-02-19 23:55:00,0.923,2023-02-19 23:55:00,0.469,2023-02-19 15:30:00,,
fcl01,1996-10-28,43.19,59.93,2023-02-19 15:00:00,25.81,2023-02-19 05:40:00,0.98,2023-02-19 04:20:00,0.323,2023-02-19 15:30:00,,
fcl01,1996-10-29,49.33,59.17,2023-02-19 12:40:00,37.64,2023-02-19 21:40:00,0.762,2023-02-19 00:20:00,0.249,2023-02-19 15:20:00,,
fcl01,1996-10-30,33.71,39.25,2023-02-19 00:00:00,28.17,2023-02-19 05:40:00,0.955,2023-02-19 05:20:00,0.652,2023-02-19 00:00:00,0.0,
fcl01,1996-10-31,29.77,32.81,2023-02-19 00:20:00,27.63,2023-02-19 07:30:00,0.99,2023-02-19 07:10:00,0.799,2023-02-19 01:10:00,,
fcl01,1996-11-01,36.91,53.19,2023-02-19 15:20:00,26.48,2023-02-19 04:50:00,1.02,2023-02-19 05:00:00,0.396,2023-02-19 15:20:00,,
fcl01,1996-11-02,41.61,60.21,2023-02-19 15:30:00,26.48,2023-02-19 04:10:00,0.966,2023-02-19 03:30:00,0.248,2023-02-19 16:00:00,,
fcl01,1996-11-03,46.1,59.36,2023-02-19 14:00:00,25.95,2023-02-19 06:30:00,0.876,2023-02-19 06:30:00,0.219,2023-02-19 14:20:00,,
fcl01,1996-11-04,51.84,63.68,2023-02-19 13:20:00,34.44,2023-02-19 23:40:00,0.808,2023-02-19 01:30:00,0.163,2023-02-19 13:40:00,,
fcl01,1996-11-05,40.95,56.45,2023-02-19 12:40:00,30.49,2023-02-19 05:00:00,0.726,2023-02-19 05:00:00,0.294,2023-02-19 12:30:00,,
fcl01,1996-11-06,36.17,44.59,2023-02-19 14:20:00,28.92,2023-02-19 07:30:00,0.539,2023-02-19 09:20:00,0.119,2023-02-19 19:00:00,,
fcl01,1996-11-07,38.32,47.95,2023-02-19 13:30:00,27.82,2023-02-19 23:30:00,0.865,2023-02-19 23:30:00,0.202,2023-02-19 12:40:00,,
fcl01,1996-11-08,40.07,56.34,2023-02-19 15:10:00,23.79,2023-02-19 06:20:00,0.849,2023-02-19 00:00:00,0.251,2023-02-19 15:10:00,0.0,
fcl01,1996-11-09,43.88,61.22,2023-02-19 14:30:00,28.1,2023-02-19 05:40:00,0.791,2023-02-19 05:40:00,0.223,2023-02-19 14:50:00,,
fcl01,1996-11-10,47.13,72.38,2023-02-19 13:50:00,27.43,2023-02-19 05:20:00,0.84,2023-02-19 04:40:00,0.089,2023-02-19 13:50:00,,
fcl01,1996-11-11,37.64,53.63,2023-02-19 13:30:00,25.58,2023-02-19 05:30:00,0.739,2023-02-19 23:55:00,0.301,2023-02-19 13:40:00,,
fcl01,1996-11-12,40.19,63.06,2023-02-19 15:20:00,21.77,2023-02-19 07:00:00,0.905,2023-02-19 05:40:00,0.194,2023-02-19 15:00:00,,
fcl01,1996-11-13,37.6,45.04,2023-02-19 08:20:00,27.46,2023-02-19 23:50:00,0.973,2023-02-19 23:55:00,0.435,2023-02-19 08:20:00,,
fcl01,1996-11-14,29.46,32.98,2023-02-19 19:40:00,26.11,2023-02-19 03:10:00,1.012,2023-02-19 04:10:00,0.822,2023-02-19 19:40:00,,
fcl01,1996-11-15,30.41,33.28,2023-02-19 13:30:00,27.54,2023-02-19 23:50:00,1.025,2023-02-19 22:00:00,0.924,2023-02-19 00:00:00,0.0,
fcl01,1996-11-16,16.88,27.47,2023-02-19 00:00:00,6.28,2023-02-19 23:40:00,1.019,2023-02-19 00:00:00,0.671,2023-02-19 14:30:00,0.0,
fcl01,1996-11-17,18.82,32.93,2023-02-19 14:40:00,3.89,2023-02-19 01:30:00,0.954,2023-02-19 06:00:00,0.553,2023-02-19 11:50:00,,
fcl01,1996-11-18,33.0,45.76,2023-02-19 11:30:00,21.73,2023-02-19 02:20:00,0.933,2023-02-19 22:30:00,0.451,2023-02-19 10:20:00,,
fcl01,1996-11-19,51.2,72.14,2023-02-19 15:10:00,33.77,2023-02-19 00:10:00,0.927,2023-02-19 00:10:00,0.176,2023-02-19 15:10:00,,
fcl01,1996-11-20,51.62,64.93,2023-02-19 12:50:00,30.08,2023-02-19 23:55:00,0.936,2023-02-19 23:55:00,0.195,2023-02-19 12:20:00,,
fcl01,1996-11-21,32.34,42.35,2023-02-19 15:00:00,28.44,2023-02-19 06:20:00,1.005,2023-02-19 07:00:00,0.644,2023-02-19 15:00:00,,
fcl01,1996-11-22,42.24,52.51,2023-02-19 13:30:00,31.96,2023-02-19 00:00:00,0.947,2023-02-19 06:00:00,0.5,2023-02-19 13:50:00,0.0,
fcl01,1996-11-23,28.19,36.32,2023-02-19 00:20:00,22.77,2023-02-19 10:00:00,1.018,2023-02-19 04:20:00,0.858,2023-02-19 00:20:00,,
fcl01,1996-11-24,29.21,40.24,2023-02-19 14:50:00,23.88,2023-02-19 01:50:00,1.006,2023-02-19 09:10:00,0.581,2023-02-19 15:20:00,,
fcl01,1996-11-25,40.56,53.39,2023-02-19 14:00:00,27.74,2023-02-19 07:20:00,0.94,2023-02-19 00:00:00,0.251,2023-02-19 13:10:00,0.0,
fcl01,1996-11-26,31.5,36.18,2023-02-19 00:00:00,26.82,2023-02-19 23:30:00,0.969,2023-02-19 21:30:00,0.626,2023-02-19 10:50:00,0.0,
fcl01,1996-11-27,28.11,39.52,2023-02-19 14:10:00,21.73,2023-02-19 23:50:00,1.002,2023-02-19 04:50:00,0.425,2023-02-19 14:10:00,,
fcl01,1996-11-28,35.1,51.96,2023-02-19 15:30:00,18.24,2023-02-19 05:20:00,0.916,2023-02-19 00:00:00,0.285,2023-02-19 15:40:00,0.0,
fcl01,1996-11-29,31.69,41.21,2023-02-19 11:30:00,21.83,2023-02-19 05:40:00,0.915,2023-02-19 21:00:00,0.517,2023-02-19 10:20:00,,
fcl01,1996-11-30,28.38,36.4,2023-02-19 16:00:00,20.35,2023-02-19 23:20:00,0.847,2023-02-19 00:00:00,0.249,2023-02-19 17:50:00,0.0,
fcl01,1996-12-01,33.88,50.17,2023-02-19 15:10:00,18.41,2023-02-19 01:10:00,0.791,2023-02-19 00:50:00,0.252,2023-02-19 14:50:00,,
fcl01,1996-12-02,31.99,42.5,2023-02-19 00:50:00,17.83,2023-02-19 23:20:00,0.546,2023-02-19 23:30:00,0.163,2023-02-19 07:00:00,,
fcl01,1996-12-03,25.18,41.01,2023-02-19 14:30:00,13.16,2023-02-19 07:00:00,0.732,2023-02-19 07:10:00,0.248,2023-02-19 15:30:00,,
fcl01,1996-12-04,27.54,35.37,2023-02-19 14:40:00,16.59,2023-02-19 02:10:00,0.677,2023-02-19 01:30:00,0.133,2023-02-19 16:30:00,,
fcl01,1996-12-05,36.3,55.28,2023-02-19 12:40:00,19.25,2023-02-19 00:10:00,0.558,2023-02-19 19:40:00,0.285,2023-02-19 12:40:00,,
fcl01,1996-12-06,35.47,44.53,2023-02-19 12:20:00,24.75,2023-02-19 22:30:00,0.644,2023-02-19 04:30:00,0.236,2023-02-19 15:20:00,,
fcl01,1996-12-07,35.88,46.13,2023-02-19 14:20:00,24.51,2023-02-19 22:20:00,0.598,2023-02-19 01:30:00,0.155,2023-02-19 13:50:00,,
fcl01,1996-12-08,39.2,59.21,2023-02-19 14:50:00,23.23,2023-02-19 01:00:00,0.693,2023-02-19 23:50:00,0.273,2023-02-19 14:40:00,,
fcl01,1996-12-09,43.7,62.4,2023-02-19 15:30:00,30.49,2023-02-19 03:30:00,0.741,2023-02-19 03:40:00,0.227,2023-02-19 15:30:00,,
